,Province,Income,Total,ActualTotal,PercentagePop,Label
0,Newfoundland and Labrador,0,26410,26410,6.32529399085,"$0 - 4,999"
1,Newfoundland and Labrador,5000,391120,28610,6.85220223697,"$5,000 - 9,999"
2,Newfoundland and Labrador,10000,362510,39630,9.4915335425,"$10,000 - 14,999"
3,Newfoundland and Labrador,15000,322880,48120,11.524920365,"$15,000 - 19,999"
4,Newfoundland and Labrador,20000,274760,37870,9.07000694561,"$20,000 - 24,999"
5,Newfoundland and Labrador,25000,236890,57470,13.764280411,"$25,000 - 34,999"
6,Newfoundland and Labrador,35000,179420,63340,15.1701674131,"$35,000 - 49,999"
7,Newfoundland and Labrador,50000,116080,54330,13.0122386415,"$50,000 - 74,999"
8,Newfoundland and Labrador,75000,61750,30140,7.21864297176,"$75,000 - 99,999"
9,Newfoundland and Labrador,100000,31610,21750,5.20920652408,"$100,000 - 149,999"
10,Newfoundland and Labrador,150000,9860,5730,1.37235647738,"$150,000 - 199,999"
11,Newfoundland and Labrador,200000,4130,1800,0.431106746821,"$200,000 - 249,999"
12,Newfoundland and Labrador,250000,2330,2330,0.558043733384,"$250,000+"
13,Prince Edward Island,0,6600,6600,5.98205383848,"$0 - 4,999"
14,Prince Edward Island,5000,103730,7600,6.88842563219,"$5,000 - 9,999"
15,Prince Edward Island,10000,96130,9430,8.54708601468,"$10,000 - 14,999"
16,Prince Edward Island,15000,86700,12300,11.1483730626,"$15,000 - 19,999"
17,Prince Edward Island,20000,74400,10020,9.08184537297,"$20,000 - 24,999"
18,Prince Edward Island,25000,64380,18030,16.3418834406,"$25,000 - 34,999"
19,Prince Edward Island,35000,46350,20610,18.6803226684,"$35,000 - 49,999"
20,Prince Edward Island,50000,25740,16040,14.5382035711,"$50,000 - 74,999"
21,Prince Edward Island,75000,9700,5430,4.92159883984,"$75,000 - 99,999"
22,Prince Edward Island,100000,4270,3010,2.72817909907,"$100,000 - 149,999"
23,Prince Edward Island,150000,1260,690,0.62539653766,"$150,000 - 199,999"
24,Prince Edward Island,200000,570,270,0.244720384302,"$200,000 - 249,999"
25,Prince Edward Island,250000,300,300,0.271911538113,"$250,000+"
26,Nova Scotia,0,48210,48210,6.73305214938,"$0 - 4,999"
27,Nova Scotia,5000,667810,56590,7.90341051926,"$5,000 - 9,999"
28,Nova Scotia,10000,611220,63600,8.88243345158,"$10,000 - 14,999"
29,Nova Scotia,15000,547620,75750,10.579313427,"$15,000 - 19,999"
30,Nova Scotia,20000,471870,61890,8.64361330689,"$20,000 - 24,999"
31,Nova Scotia,25000,409980,101030,14.1099410631,"$25,000 - 34,999"
32,Nova Scotia,35000,308950,119650,16.710427083,"$35,000 - 49,999"
33,Nova Scotia,50000,189300,104660,14.6169101422,"$50,000 - 74,999"
34,Nova Scotia,75000,84640,48050,6.71070640485,"$75,000 - 99,999"
35,Nova Scotia,100000,36590,25460,3.5557665987,"$100,000 - 149,999"
36,Nova Scotia,150000,11130,6170,0.861707773526,"$150,000 - 199,999"
37,Nova Scotia,200000,4960,2160,0.301667551186,"$200,000 - 249,999"
38,Nova Scotia,250000,2800,2800,0.391050529315,"$250,000+"
39,New Brunswick,0,35880,35880,6.11191550975,"$0 - 4,999"
40,New Brunswick,5000,551170,49180,8.37748062346,"$5,000 - 9,999"
41,New Brunswick,10000,501990,49830,8.48820373052,"$10,000 - 14,999"
42,New Brunswick,15000,452160,67680,11.5288305936,"$15,000 - 19,999"
43,New Brunswick,20000,384480,54280,9.24623115578,"$20,000 - 24,999"
44,New Brunswick,25000,330200,89850,15.3053402606,"$25,000 - 34,999"
45,New Brunswick,35000,240350,100360,17.0956477302,"$35,000 - 49,999"
46,New Brunswick,50000,139990,79900,13.6104250064,"$50,000 - 74,999"
47,New Brunswick,75000,60090,34210,5.82744229623,"$75,000 - 99,999"
48,New Brunswick,100000,25880,18410,3.13601907844,"$100,000 - 149,999"
49,New Brunswick,150000,7470,4260,0.725662209352,"$150,000 - 199,999"
50,New Brunswick,200000,3210,1390,0.236777105868,"$200,000 - 249,999"
51,New Brunswick,250000,1820,1820,0.31002469977,"$250,000+"
52,Quebec,0,385080,385080,6.10766932176,"$0 - 4,999"
53,Quebec,5000,5919780,422530,6.70165554826,"$5,000 - 9,999"
54,Quebec,10000,5497250,619050,9.81861611519,"$10,000 - 14,999"
55,Quebec,15000,4878200,685990,10.8803367561,"$15,000 - 19,999"
56,Quebec,20000,4192210,552580,8.76435004108,"$20,000 - 24,999"
57,Quebec,25000,3639630,870520,13.8071265659,"$25,000 - 34,999"
58,Quebec,35000,2769110,1120880,17.7780315503,"$35,000 - 49,999"
59,Quebec,50000,1648230,959300,15.215246651,"$50,000 - 74,999"
60,Quebec,75000,688930,375410,5.95429557516,"$75,000 - 99,999"
61,Quebec,100000,313520,210000,3.33076388691,"$100,000 - 149,999"
62,Quebec,150000,103520,50580,0.802238273332,"$150,000 - 199,999"
63,Quebec,200000,52940,20160,0.319753333143,"$200,000 - 249,999"
64,Quebec,250000,32780,32780,0.519916381966,"$250,000+"
65,Ontario,0,805190,805190,8.16020220365,"$0 - 4,999"
66,Ontario,5000,9062090,686700,6.95936468814,"$5,000 - 9,999"
67,Ontario,10000,8375390,918320,9.30671877154,"$10,000 - 14,999"
68,Ontario,15000,7457070,911250,9.23506782011,"$15,000 - 19,999"
69,Ontario,20000,6545820,773480,7.83883704526,"$20,000 - 24,999"
70,Ontario,25000,5772340,1190130,12.061378617,"$25,000 - 34,999"
71,Ontario,35000,4582210,1494890,15.1499704072,"$35,000 - 49,999"
72,Ontario,50000,3087320,1513230,15.3358372317,"$50,000 - 74,999"
73,Ontario,75000,1574090,807100,8.17955910849,"$75,000 - 99,999"
74,Ontario,100000,766990,501440,5.08184626361,"$100,000 - 149,999"
75,Ontario,150000,265550,129260,1.309986136,"$150,000 - 199,999"
76,Ontario,200000,136290,49990,0.506623912568,"$200,000 - 249,999"
77,Ontario,250000,86300,86300,0.874607794651,"$250,000+"
78,Manitoba,0,74810,74810,8.13585496623,"$0 - 4,999"
79,Manitoba,5000,844700,64680,7.03418124871,"$5,000 - 9,999"
80,Manitoba,10000,780020,76830,8.35553718829,"$10,000 - 14,999"
81,Manitoba,15000,703190,84950,9.23861621951,"$15,000 - 19,999"
82,Manitoba,20000,618240,75830,8.24678361301,"$20,000 - 24,999"
83,Manitoba,25000,542410,127560,13.8726060619,"$25,000 - 34,999"
84,Manitoba,35000,414850,160340,17.4375482594,"$35,000 - 49,999"
85,Manitoba,50000,254510,141360,15.3734054007,"$50,000 - 74,999"
86,Manitoba,75000,113150,64900,7.05810703527,"$75,000 - 99,999"
87,Manitoba,100000,48250,33860,3.68239605877,"$100,000 - 149,999"
88,Manitoba,150000,14390,7250,0.788463420735,"$150,000 - 199,999"
89,Manitoba,200000,7140,2750,0.299072332003,"$200,000 - 249,999"
90,Manitoba,250000,4390,4390,0.477428195452,"$250,000+"
91,Saskatchewan,0,52920,52920,6.59069680553,"$0 - 4,999"
92,Saskatchewan,5000,750030,45990,5.72762936671,"$5,000 - 9,999"
93,Saskatchewan,10000,704040,58170,7.24453577433,"$10,000 - 14,999"
94,Saskatchewan,15000,645870,74740,9.30817610063,"$15,000 - 19,999"
95,Saskatchewan,20000,571130,60580,7.5446789962,"$20,000 - 24,999"
96,Saskatchewan,25000,510550,101420,12.6309234697,"$25,000 - 34,999"
97,Saskatchewan,35000,409130,135420,16.8653091724,"$35,000 - 49,999"
98,Saskatchewan,50000,273710,133470,16.6224546983,"$50,000 - 74,999"
99,Saskatchewan,75000,140240,71540,8.90964568155,"$75,000 - 99,999"
100,Saskatchewan,100000,68700,48720,6.06762563049,"$100,000 - 149,999"
101,Saskatchewan,150000,19980,11540,1.43720032381,"$150,000 - 199,999"
102,Saskatchewan,200000,8440,3610,0.449592129024,"$200,000 - 249,999"
103,Saskatchewan,250000,4830,4830,0.601531851298,"$250,000+"
104,Alberta,0,206520,206520,7.12201783608,"$0 - 4,999"
105,Alberta,5000,2693220,159780,5.51014918579,"$5,000 - 9,999"
106,Alberta,10000,2533440,178830,6.16710463697,"$10,000 - 14,999"
107,Alberta,15000,2354610,214250,7.3885934601,"$15,000 - 19,999"
108,Alberta,20000,2140360,209920,7.23926972763,"$20,000 - 24,999"
109,Alberta,25000,1930440,321470,11.0861663459,"$25,000 - 34,999"
110,Alberta,35000,1608970,418070,14.4174995,"$35,000 - 49,999"
111,Alberta,50000,1190900,487490,16.8115072386,"$50,000 - 74,999"
112,Alberta,75000,703410,295560,10.1926379606,"$75,000 - 99,999"
113,Alberta,100000,407850,245570,8.46869029637,"$100,000 - 149,999"
114,Alberta,150000,162280,80650,2.78128383924,"$150,000 - 199,999"
115,Alberta,200000,81630,33990,1.17217405698,"$200,000 - 249,999"
116,Alberta,250000,47640,47640,1.6429059157,"$250,000+"
117,British Columbia,0,318970,318970,9.1885118396,"$0 - 4,999"
118,British Columbia,5000,3152430,230740,6.6468859826,"$5,000 - 9,999"
119,British Columbia,10000,2921690,324840,9.35760788155,"$10,000 - 14,999"
120,British Columbia,15000,2596850,336610,9.69666417008,"$15,000 - 19,999"
121,British Columbia,20000,2260240,278080,8.0106009103,"$20,000 - 24,999"
122,British Columbia,25000,1982160,428210,12.3353690154,"$25,000 - 34,999"
123,British Columbia,35000,1553950,526960,15.1800426341,"$35,000 - 49,999"
124,British Columbia,50000,1026990,521980,15.0365846632,"$50,000 - 74,999"
125,British Columbia,75000,505010,262170,7.55228438094,"$75,000 - 99,999"
126,British Columbia,100000,242840,163560,4.71164371723,"$100,000 - 149,999"
127,British Columbia,150000,79280,40550,1.16811661001,"$150,000 - 199,999"
128,British Columbia,200000,38730,15320,0.441320504696,"$200,000 - 249,999"
129,British Columbia,250000,23410,23410,0.674367690269,"$250,000+"
130,Yukon,0,1310,1310,4.99428135722,"$0 - 4,999"
131,Yukon,5000,24920,1210,4.61303850553,"$5,000 - 9,999"
132,Yukon,10000,23710,1590,6.06176134197,"$10,000 - 14,999"
133,Yukon,15000,22120,1930,7.35798703774,"$15,000 - 19,999"
134,Yukon,20000,20190,1820,6.93861990088,"$20,000 - 24,999"
135,Yukon,25000,18370,2980,11.3610369806,"$25,000 - 34,999"
136,Yukon,35000,15390,3920,14.9447197865,"$35,000 - 49,999"
137,Yukon,50000,11470,5380,20.5108654213,"$50,000 - 74,999"
138,Yukon,75000,6090,3430,13.0766298132,"$75,000 - 99,999"
139,Yukon,100000,2660,2000,7.62485703393,"$100,000 - 149,999"
140,Yukon,150000,660,430,1.6393442623,"$150,000 - 199,999"
141,Yukon,200000,230,120,0.457491422036,"$200,000 - 249,999"
142,Yukon,250000,110,110,0.419367136866,"$250,000+"
143,Northwest Territories,0,2610,2610,8.67686170213,"$0 - 4,999"
144,Northwest Territories,5000,27470,1960,6.51595744681,"$5,000 - 9,999"
145,Northwest Territories,10000,25510,2140,7.11436170213,"$10,000 - 14,999"
146,Northwest Territories,15000,23370,2080,6.91489361702,"$15,000 - 19,999"
147,Northwest Territories,20000,21290,1730,5.75132978723,"$20,000 - 24,999"
148,Northwest Territories,25000,19560,2510,8.34441489362,"$25,000 - 34,999"
149,Northwest Territories,35000,17050,3190,10.6050531915,"$35,000 - 49,999"
150,Northwest Territories,50000,13860,4280,14.2287234043,"$50,000 - 74,999"
151,Northwest Territories,75000,9580,3730,12.4002659574,"$75,000 - 99,999"
152,Northwest Territories,100000,5850,4490,14.9268617021,"$100,000 - 149,999"
153,Northwest Territories,150000,1360,890,2.95877659574,"$150,000 - 199,999"
154,Northwest Territories,200000,470,220,0.731382978723,"$200,000 - 249,999"
155,Northwest Territories,250000,250,250,0.831117021277,"$250,000+"
156,Nunavut,0,2150,2150,10.9862033725,"$0 - 4,999"
157,Nunavut,5000,17420,2280,11.6504854369,"$5,000 - 9,999"
158,Nunavut,10000,15140,1670,8.53346959632,"$10,000 - 14,999"
159,Nunavut,15000,13470,1510,7.71589167092,"$15,000 - 19,999"
160,Nunavut,20000,11960,1350,6.89831374553,"$20,000 - 24,999"
161,Nunavut,25000,10610,1900,9.70873786408,"$25,000 - 34,999"
162,Nunavut,35000,8710,1860,9.50434338273,"$35,000 - 49,999"
163,Nunavut,50000,6850,1800,9.19775166071,"$50,000 - 74,999"
164,Nunavut,75000,5050,1890,9.65763924374,"$75,000 - 99,999"
165,Nunavut,100000,3160,2450,12.5191619826,"$100,000 - 149,999"
166,Nunavut,150000,710,490,2.50383239653,"$150,000 - 199,999"
167,Nunavut,200000,220,140,0.715380684722,"$200,000 - 249,999"
168,Nunavut,250000,80,80,0.408788962698,"$250,000+"
